Ingredients,min_EF,max_EF
Abats de bœuf,0.36533464,1.9767213
Abats de porc,0.0087072048,0.22866022
Abats de poulet,0.0034031028,0.049211536
Abats de veau,0.39891638,0.39891638
Abricot,0.0044514049999999,0.046987052
Ail,0.000309985,0.0097354665
Amande,0.10859308,1.0725792
Amidon de maïs,0.0014711904,0.0316734839999999
Ananas,0.0034059732999999,0.019587067
Anchois,0.0076109896,0.11428961
Anchois commun,0.010466671,0.032222235
Asperges,0.0391032179999999,0.039111902
Aubergine,0.049074089,0.1445455
Autres étapes,0.005990215,1.9960343
Avocat,0.088797969,0.35041779
Avoine,0.0419334279999999,0.0419334279999999
Baie,0.0013219999,0.0013222935
Basilic,0.0011673282,0.058209869
Beurre,0.02397391,0.75358125
Bière,0.0195438709999999,0.0195438709999999
Blanc d'oeuf,0.016685881,0.25604197
Blé dur,0.0019159204,0.069803233
Boisson à base d'avoine,0.0004187449399999,0.0034341515999999
Boisson à base de soja,0.0191373699999999,0.026780469
Bouillon,0.0,0.0
Brocoli,0.014113413,0.014113413
Bœuf haché,0.2969967799999999,2.9616655
Cacahuète,0.21287329,0.33513746
Cacao,1.0788538,1.0788538
Café,0.032099867,1.9654103
Calamar,0.2677002,0.2677002
Camembert,0.18002637,0.18002637
Cannelle ,0.11105256,0.11105256
Carotte,0.0011267519,0.060097667
Cassonade,0.0037506852,0.06520799
Cerises,0.29796928,0.36068601
Champignon,0.0017634771,0.029068458
Chicorée,0.0073607796,0.2590303699999999
Chicorée rouge,0.0060689946999999,0.0060689946999999
Chocolat au lait,0.0539962249999999,0.76355344
Chocolat noir,0.10128421,0.56521899
Chou blanc,0.0161064439999999,0.092830244
Chou vert,0.041495912,0.041495912
Choucroute,0.067130485,0.067130485
Choufleur,0.036542752,0.036542752
Châtaigne,0.2155391099999999,0.2155391099999999
Ciboulette ou oignon de printemps,0.00062485802,0.0067004175
Clous de girofle,0.011077212,0.011077212
Comté,0.027993142,0.062572906
Concentré de tomates 30° Brix,0.0022814236,0.035797337
Concombre,0.041667665,0.078748064
Congre,0.16808884,0.16812617
Coquille Saint-Jacques,0.0307429549999999,0.057023224
Coriandre,0.0012174605,0.0024078166
Courgette,0.0019167454,0.016269
Cresson de jardin,0.012292846,0.012295576
Crevette,0.017342997,0.2421562099999999
Crème,1.3466680999999998,1.3466680999999998
Céleri,0.001755812,0.0026286176
Céleri-rave,0.0045593041999999,0.042550336
Eau de Vie,0.0016671034,0.026962601
Emmental,0.017289882,0.22943399
Endive,0.0085970211,0.0085970211
Endive d'hiver,0.0146313849999999,0.0146313849999999
Epinard,0.0019931061,0.021000069
Escargot,0.010106571,0.010106571
Estragon,0.0056616533,0.0056616533
Farine de blé,0.00081248945,0.7534364
Farine de riz,0.041676788,0.34697187
Farine de sarrasin,0.015238759,0.040345239
Farine de seigle,0.0082841025999999,0.04365946
Fenouil,0.0035627856,0.0085283018
Fond de veau pour la sauce et la cuisson,0.0,0.0
Fraise,0.0745539039999999,0.4143825
Framboises,0.033281039,0.24424967
Frites,0.020586225,0.020586225
Fromage,0.17557534,0.22777342
Fromage de Cheddar,0.060377365,0.12624358
Fromage fondu,0.048196037,0.13277536
Fromage frais crémeux,0.0082639586,0.33550259
Fromage mozzarella,0.065678913,0.12285264
Fromage à pâte dure,0.021626074,0.3990395
Fructose,0.00051409348,0.0251877
Fruit de mer,0.0020776687,0.0020776687
Fruits confits,0.024174856,0.024174856
Fèves,0.0061955682,0.0061955682
Gingembre,0.0018163698,0.0208056899999999
Grain de maïs,0.0062567174,0.050133954
Grain de maïs séché,0.0617802779999999,0.10411366
Graine de lin,0.022434436,0.022434436
Graine de soja,0.018906945,0.018906945
Graine de sésame,0.0070880362999999,0.40914547
Graines de pavot,0.0055331036,0.0055331036
Graines de tournesol,0.081922226,0.083620096
Graisse de porc,0.0562397029999999,0.0594389679999999
Graisse végétale (type margarine),0.0070097747,0.094098606
Grenade,0.0026749203,0.017901015
Grondin rouge,0.11627162,0.11629744
Groseille,0.017334271,0.084214177
Gruyère,0.030880888,0.1081303699999999
Haricot,0.0016505158,0.016392109
Haricot mungo,0.0049984894,0.031348438
Haricot rouge,0.0032261996999999,0.0072464389
Haricot vert,0.0061402056,0.038282448
Herbes de Provence,0.03155473,0.03155473
Homard de Norvège,0.13692187,0.13695227
Huil de lin,0.0587744829999999,0.0587744829999999
Huile combinée (mélange d'huile d'olive et d'huile de graines),0.0026703007,0.4986840899999999
Huile d'arachide,0.11070018,0.11070018
Huile d'olive,0.0058536132,0.76470469
Huile de colza,0.0097017162,0.26473159
Huile de palme,0.034907301,0.1569246
Huile de poisson,0.0720013749999999,0.0720013749999999
Huile de soja,0.0080377505,0.0080377505
Huile de tournesol,0.0052231653,0.19731958
Jambon cuit,0.071437861,0.48495676
Jaune d'œuf,0.0065855441,0.089649188
Jus de citron,0.0040032733,0.088406503
Jus de fruits mélangé,0.0021412307,0.0021412307
Lait,0.023678805,0.4197324
Lait concentré,0.0865161429999999,0.0865161429999999
Lait de coco ou crème de coco,0.005766728,0.032295456
Lait demi-écremé,0.0052433474,0.11133521
Lait écrémé,0.090364073,0.090364073
Lentilles,0.0081745608999999,0.014230085
Levure,0.0064295213,0.0103633729999999
Lieu ou colin d'Alaska,0.16615875,2.6509657
Lotte ,0.3664655599999999,0.36654694
Léthicine de soja,0.0042110224,0.035288941
Manioc,0.0069681948,0.086098651
Menthe,0.0075707594,0.0075707594
Merguez,0.17206993,0.17206993
Miel,0.0,0.0
Millet,0.0037255795,0.0037255795
Morue,0.5040148600000001,1.2868072
Moule,0.046764042,0.3372406799999999
Moutarde,0.0034538226,0.026107928
Mélange de chicorée et de café,0.17884503,0.17884503
Mélange de céréales et légumineuses,0.0024434672,0.0024434672
Navet,0.0021346482,0.012788872
Noix,0.039714822,0.15091632
Noix de cajou,0.13965422,0.13965422
Noix de coco,0.047987467,0.093274341
Noix de muscade,0.0137123349999999,0.0137123349999999
Oignons,0.00060578284,0.054434933
Olives,0.0030417204,0.053010047
Omelette,0.04072682,0.051407628
Orange,0.031863366,0.058531277
Origan,0.015026062,0.015026062
Pain perdu,0.033325168,0.033325168
Pain pour hamburger/hot-dog,0.099500046,0.099500046
Pamplemousse/pomelos ,0.024658976,0.027124873
Parmesan,0.02217496,0.1199314
Patate douce,0.023032251,0.023032251
Persil,0.0010743634,0.012089335
Petits pois,0.0035148772,0.030421868
Pignon de pin,0.096581402,0.096581402
Piment,0.025315263,0.21958716
Poire,0.0057181665,0.031221082
Poireau,0.0019489939,0.097168193
Pois chiches,0.0015753721999999,0.031340045
Poisson Saint-Pierre,0.16808884,0.16812617
Poivre,0.0024217149,0.031922606
Pomme,0.0015187476,0.0015187476
Pomme de table,0.0036497696,0.036396594
Pommes de terre,0.0015774919,0.043105972
Potiron,0.027720436,0.027726591
Poudre de cacao,0.0029099845,0.19368398
Prune,0.23864572,0.32022388
Purée de pomme de terre,0.0013016559,0.020741664
Pâtes,0.0076632229999999,0.14732204
Pêche,0.12134956,0.19447045
Raisin,0.039193199,0.26971664
Raisin de table,0.0015960993,0.0025578514
Rascasse,0.16808884,0.16812617
Reblochon,0.10489726,0.10489726
Riz non décortiqué,0.0039887136999999,0.092970019
Romarin,0.014274759,0.014274759
Roquefort,0.07208917,0.1007972499999999
Safran,0.0032302921,0.0032310093999999
Salade,0.0091805985,0.0091805985
Salade verte,0.0037054633,0.0063806691999999
Sarrasin,0.0031054574,0.0031054574
Sauce au curry,0.00067344057,0.00067344057
Sauce de fromage,0.039598941,0.039598941
Sauce soja,0.0012748317,0.0017174217
Saucisses sèches,0.025910665,0.35750158
Saumon,0.1245658799999999,0.52475607
Sel,7.9002959e-05,0.019497099
Sirop,0.01538813,0.01538813
Sole au citron,0.1903953599999999,0.1903953599999999
Son de blé,0.0021079671,0.0021079671
Sucre blanc,0.0012959677,0.11269284
Thon,0.096669769,0.64804355
Thym,0.0012769317,0.015026062
Thé,0.034484941,0.034484941
Tomate,0.0011806584,0.044320882
Tomme,0.028917622,0.16617283
Vanille,0.01012539,0.018407731
Viande,0.11012068,1.5503832999999998
Viande avec os,0.1770618,1.0479806
Viande d'agneau sans os,0.40048884,3.0973211000000003
Viande de bœuf sans os,0.091428731,2.4316738
Viande de moutton sans os,1.1393546,2.2595604
Viande de porc maigre,0.0398595869999999,0.28737666
Viande de poulet sans os,0.047436593,0.9205767
Viande de veau sans os,0.30240421,1.6931119
Vin blanc,0.0010937043,0.089332181
Vin rouge,0.0053229906,0.13773142
Yaourt,0.0022873624,0.017149049
citron,0.0068978098,0.010579372
Échalote,0.0010860627,0.0091607271
Œuf de poule,0.014431607,1.6766108000000002
